mass	form_id	proper	cycle	occurrence	latin_incipit	printed_page	ia_leaf_range	pdf_artifact_page_range	alignment_status	english
comm-beatae-mariae-virginis-a-mercede	main	Collect	all	1	Deus, qui per	664	672-672	673-673	candidate	O God, who by the most glorious Mother of thy Son, wast pleased to appoint a new order in thy Church for delivering the faithful out of the hands of infidels: grant, we beseech thee, that we also may be delivered from the slavery of the devil, by her merits and prayers whom we devoutly honour in the institution of so charitable a work. Thro'.
comm-ss-cypriani-iustinae-virginis-martyrum	main	Secret	all	1	Munera tibi, Domine, nostrae devotionis offerimus	479	487-487	488-488	candidate	We bring thee, O Lord, the offerings of our devotion; and may they be acceptable to thee in honour of thy saints, and, by thy mercy, available to our salvation. Thro'.
comm-ss-placidi-sociorum-martyrum	main	Secret	all	1	Munera tibi, Domine, nostrae devotionis offerimus	479	487-487	488-488	candidate	We bring thee, O Lord, the offerings of our devotion; and may they be acceptable to thee in honour of thy saints, and, by thy mercy, available to our salvation. Thro'.
commemoratione-omnium-fidelium-defunctorum	first	Collect	all	1	Fidelium, Deus, omnium conditor et redemptor	518	526-526	527-527	candidate	O God, the Creator and Redeemer of all the faithful, give to the souls of thy servants departed the remission of their sins: that through the help of pious supplications, they may obtain the pardon they have always desired. Who livest.
commemoratione-omnium-fidelium-defunctorum	first	Secret	all	1	Hostias, quaesumus, Domine, quas tibi pro animabus famulorum	519	527-527	528-528	candidate	Look down favourably, we beseech thee, O Lord, on the sacrifice we offer for the souls of thy servants; that as thou wast pleased to bestow on them the merit of Christian faith, thou wouldst also grant them the reward thereof. Thro'.
commemoratione-omnium-fidelium-defunctorum	first	Postcommunion	all	1	Animabus, quaesumus, Domine, famulorum famularumque tuarum	520	528-528	529-529	candidate	Grant, we beseech thee, O Lord, that our humble prayers in behalf of the souls of thy servants, both men and women, may be profitable to them: so that thou mayest deliver them from all their sins, and make them partakers of the redemption thou hast purchased for them. Who livest.
praesentatione-beatae-mariae-virginis	main	Secret	all	1	Tua, Domine, propitiatione	508-509	516-517	517-518	candidate	May, O Lord, by thy own mercy, and the intercession of blessed Mary, ever a Virgin, this oblation procure us peace and happiness both in this life, and in that which is to come. Thro'.
praesentatione-beatae-mariae-virginis	main	Postcommunion	all	1	Sumptis, Domine, salutis	509	517-517	518-518	candidate	Having received, O Lord, what is to advance our salvation; grant we may always be protected by the patronage of blessed Mary, ever a Virgin, in whose honour we have offered this sacrifice to thy Majesty. Thro'.
comm-s-saturnini-martyris	main	Secret	all	1	Munera, Domine, tibi dicata sanctifica	523	531-531	532-532	candidate	Sanctify, O Lord, the offerings we have consecrated to thee, and being appeased thereby, mercifully look down upon us, by the intercession of blessed Saturninus, thy Martyr. Thro'.
comm-s-saturnini-martyris	main	Postcommunion	all	1	Sanctificet nos, quaesumus Domine	523	531-531	532-532	candidate	May the receiving of this thy sacrament, O Lord, we beseech thee, sanctify us: and by the intercession of thy saints, make us acceptable to thee.
palm-sunday	main	Blessing of the Palms	all	1	Benedic, quaesumus, Domine	235	245-245	246-246	rejected-target-identity	Bless, + O Lord, we beseech thee, these branches of the palm-tree, or olive-tree; and grant that what thy people this day act corporally for thy honour, they may perform the same spiritually with the greatest devotion, by gaining a victory over their enemy, and ardently loving mercy. Thro'. R. Amen
palm-sunday	main	Versicle at the Beginning of the Procession	all	1	Procedamus in pace	237	247-247	248-248	candidate	Let us set out in peace. R. In the name of Christ. Amen.
palm-sunday	main	Responsory at the Entrance into the Church	all	1	Ingrediente Domino	239	249-249	250-250	candidate	R. As our Lord entered the holy city, the Hebrew children declaring the resurrection of life, * With palm-branches cried out: Hosanna in the highest. V. When the people heard, that Jesus was coming to Jerusalem, they went out to meet him, and * With palm-branches, &c. as above, to V.
good-friday	main	Showing of the Cross	all	1	Ecce lignum Crucis	292	300-300	301-301	candidate	Behold the wood of the cross, on which hung the Salvation of the World. R. Come let us adore.
good-friday	main	Improperia	all	1	Popule meus, quid feci tibi?	292-294	300-302	301-303	rejected-target-identity	V. My people, what have I done to thee? Or in what have I grieved thee? Answer me. V. Because I brought thee out of the land of Egypt; thou hast prepared a cross for thy Saviour. Agios Theos. Sanctus Deus. O holy God. Agios Ischyros. Sanctus Fortis. O Most Holy One. Agios Athanatos eleison imas. Sanctus immortalis, miserere nobis. O Holy Immortal One, have mercy on us. V. Because I was thy guide through the desert for forty years, and fed thee with manna, and brought thee into an excellent land, thou hast prepared a cross for thy Saviour. V. What more should I have done to thee, and have not done? I have planted thee for my most beautiful vineyard: and thou hast proved very bitter to me, for in my thirst thou givest me vinegar to drink; and piercedst the side of thy Saviour with a spear. V. For thy sake I scourged Egypt with her first-born; and thou hast delivered me up to be scourged. My people, what have I done to thee? or in what have I grieved thee? Answer me. V. I led thee out of Egypt, having drowned Pharaoh in the Red Sea; and thou hast delivered me up to the chief priests. My people, &c. V. I opened the sea before thee; and thou hast opened my side with a spear. My people, &c. V. I went before thee in a pillar of cloud; and thou hast brought me to the court of Pilate. My people, &c. V. I fed thee with manna in the desert; and thou hast beaten me with buffets and stripes. My people, &c. V. I gave thee wholesome water to drink out of the rock, and thou hast given me for my drink gall and vinegar. My people, &c. V. For thy sake I smote the king of Canaan; and thou hast smote my head with a cane. My people, &c. V. I gave thee a royal sceptre; and thou hast given me a crown of thorns. My people, &c. V. By great might I raised thee on high; and thou hast hanged me on the gibbet of the cross. My people, &c.
easter-vigil	main	Blessing of the New Fire	all	1	Deus, qui per Filium tuum, angularem scilicet lapidem	300	308-308	309-309	candidate	O God, who by thy only Son, the chief corner-stone of thy Church, hast bestowed on the faithful the fire of thy divine love: bless + this new fire produced from a flint for our use: and grant that during this paschal solemnity. we may be so inflamed with heavenly desires, that with purity of mind, we may come to those festivals, where we may enjoy a light which will never end. Thro' the same. R. Amen.
easter-vigil	main	Lumen Christi	all	1	Lumen Christi	301	309-309	310-310	exact-normalized	Behold the light of Christ. R. Thanks be to God.
easter-vigil	main	Oration after the First Prophecy	all	1	Deus, qui mirabiliter creasti hominem	306	314-314	315-315	candidate	O God, who didst wonderfully create man, and redeem him by a still greater wonder: grant us, we beseech thee, such strength of mind and reason against all the allurements of sin, that we may deserve to obtain eternal joys. Thro'. R. Amen.
easter-vigil	main	Oration after the Second Prophecy	all	1	Deus, cujus antiqua miracula	313	321-321	322-322	candidate	O God, whose ancient miracles we see renewed in our days: whilst, by the water of regeneration, thou performest, for the salvation of the Gentiles, that which by the power of thy right hand thou didst for the deliverance of one people from the Egyptian persecution; grant that all the nations of the world may become the children of Abraham, and partake of the dignity of the people of Israel. Thro'. R. Amen.
easter-vigil	main	Oration after the Third Prophecy	all	1	Deus, qui in omnibus Ecclesiae tuae filiis	318	326-326	327-327	candidate	O God, who by the mouths of the holy prophets hast declared, that through the whole extent of thy empire it is thou that sowest the good seed, and improvest the choicest branches that are found in all the children of thy church: grant to thy people, who are called by the names of vineyards and corn, that they may root out all thorns and briers, and bring forth good fruit in plenty. Thro'. R. Amen.
easter-vigil	main	Oration after the Fourth Prophecy	all	1	Deus, celsitudo humilium	320	328-328	329-329	candidate	O God, who, raisest the humble, and givest strength to the righteous: and who by thy holy servant Moses, wast pleased so to instruct thy people by the singing of the sacred canticle, that the repetition of the law might be also our direction: shew thy power to all the multitude of Gentiles justified by thee, and, by mitigating thy terrors, grant them joy: that all their sins being pardoned by thee, the threatened vengeance may contribute to their salvation. Thro'. R. Amen.
easter-vigil	main	Blessing of the Baptismal Water	all	1	Omnipotens sempiterne Deus, adesto magnae pietatis tuae mysteriis	323-327	331-335	332-336	exact-normalized	O Almighty and eternal God, be present at these mysteries, be present at these sacraments of thy great goodness: and send forth the spirit of thy adoption to regenerate the new people, whom the font of baptism bringeth forth: that what is to be done by the ministry of us thy servants, may be accomplished by the effect of thy power. Thro'. R. Amen. It is truly meet and just, right and available to salvation, to give thee thanks always, and in all places, O holy Lord, almighty Father, and eternal God: who, by thy invisible power, dost wonderfully produce the effects of thy sacraments: and, though we are unworthy to administer such great mysteries, yet, as thou dost not abandon the gifts of thy grace, so thou inclinest the ears of thy goodness even to our prayers. O God, whose spirit in the very beginning of the world moved upon the waters; that even then the nature of water might receive the virtue of sanctification: O God, who by water didst wash away the crimes of a guilty world, and by the overflowing of the deluge didst give us a figure of regeneration; that one and the same element might, in a mystery, be the end of vice, and the origin of virtue: look down, O Lord, on thy Church, and multiply in her thy regenerations, who by the streams of thy abundant grace, fillest thy city with joy, and openest the fonts of baptism all over the world for the renewal of the Gentiles; that by the command of thy majesty it may receive the grace of thy Son from the Holy Ghost. Who, by a secret mixture of his divine virtue, may render this water fruitful for the regeneration of men: to the end that those, who are to be sanctified in the immaculate womb of this divine font, and are to be born again new creatures, may come forth a heavenly offspring; and that all, however, distinguished by age in time, or sex in body, may be brought forth to the same infancy by grace, their spiritual mother. Therefore may all unclean spirits, by thy command, O Lord, depart from hence; may all the malice of diabolical wiles be entirely banished; may no power of the enemy prevail here; let him not fly about to lay his snares: let him not creep in by his secret artifices; let him not corrupt with his infection. May this holy and innocent creature be free from all assaults of the enemy, and purified by the destruction of all his malice. May it become a living fountain, a regenerating water, a purifying stream: that all those, that are to be washed in this saving bath, may obtain, by the efficacy of the Holy Ghost, the grace of a perfect purification. Wherefore I bless thee, O creature of water, by the living + God, by the true + God, by the holy + God; by that God, who in the beginning separated thee by his word from the dry land, and whose spirit moved upon thee. Who made thee flow from the fountain of paradise, and commanded thee to water the whole earth with thy four rivers. Who changing thy bitterness in the desert into sweetness, made thee fit to drink; and produced thee out of a rock to quench the thirst of the people. I + bless thee also by our Lord Jesus Christ, his only Son: who, in Cana of Galilee, changed thee into wine, by a wonderful miracle of his power. Who walked upon thee dry-foot, and was baptized in thee by John in the Jordan. Who made thee flow out of his side, together with his blood, and commanded his disciples that such as believed should be baptized in thee, saying: Go, teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Ghost. Do thou, O Almighty God, mercifully assist us who observe this commandment: do thou graciously inspire us. Do thou with thy mouth bless these clear waters; that besides their natural virtue of cleansing the body, they may also prove effectual for purifying the soul. May the virtue of the Holy Ghost descend into all the water of this font. And make the whole substance of this water fruitful, and capable of bringing to a new life. Here may the stains of all sin be washed out; here may human nature, created to thy image, and reformed to the honour of its author, be cleansed from the filth of the old man: that all who receive this sacrament of regeneration, may be born again new children of true innocence. Thro'--who is to come to judge the living and the dead, and the word by fire. R. Amen. May this font be sanctified and made fruitful by the oil of salvation for such as are to be born anew in it, unto life everlasting. R. Amen. May this infusion of the chrism of our Lord Jesus Christ, and of the Holy Ghost the Comforter, be performed in the name of the Holy Trinity. R. Amen. May this mixture of the chrism of sanctification, and of the oil of salvation, and of the water of baptism, be performed in the name of the Father, and of the Son, and of the Holy Ghost. R. Amen.
commune-dedicationis-ecclesiae	main	Secret (Extra ecclesiam ipsam dedicatam)	all	1	Annue, quaesumus, Domine	506	514-514	515-515	exact-superseded-by-lasance	Grant, we beseech thee, O Lord, our petition, that whilst we offer thee these our vows, we may, by thy help, obtain an eternal reward. Thro'.
commune-confessoris-non-pontificis-1	main	Secret	all	1	Laudis tibi, Domine	489	497-497	498-498	exact	We offer thee, O Lord, in honour of thy saints, a sacrifice of praise, by which we hope to be delivered from all present and future evils. Thro'.
commune-confessoris-non-pontificis-1	main	Postcommunion	all	1	Refecti cibo potuque	489	497-497	498-498	exact	Being refreshed, O Lord, with this heavenly meat and drink, we humbly beseech thee, that we may be assisted by his prayers, on whose feast we have received these sacred mysteries. Thro'.
s-petri-nolasci-confessoris	main	Secret	all	1	Laudis tibi, Domine	489	497-497	498-498	exact	We offer thee, O Lord, in honour of thy saints, a sacrifice of praise, by which we hope to be delivered from all present and future evils. Thro'.
s-petri-nolasci-confessoris	main	Postcommunion	all	1	Refecti cibo potuque	489	497-497	498-498	exact	Being refreshed, O Lord, with this heavenly meat and drink, we humbly beseech thee, that we may be assisted by his prayers, on whose feast we have received these sacred mysteries. Thro'.
