book	chapter	verse	kind	marker	printed
Lev	19	35	prose	p	
Lev	19	37	prose	p	
Lev	20	6	prose	p	
Lev	20	7	prose	p	
Lev	20	9	prose	p	
Lev	20	10	prose	p	
Lev	20	11	prose	p	
Lev	20	12	prose	p	
Lev	20	13	prose	p	
Lev	20	14	prose	p	
Lev	20	15	prose	p	
Lev	20	16	prose	p	
Lev	20	17	prose	p	
Lev	20	18	prose	p	
Lev	20	19	prose	p	
Lev	20	21	prose	p	
Lev	20	22	prose	p	
Lev	20	25	prose	p	
Lev	20	27	prose	p	
Lev	21	5	prose	p	
Lev	21	7	prose	p	
Lev	21	9	prose	p	
Lev	21	10	prose	p	
Lev	21	13	prose	p	
Lev	21	16	prose	p	
Lev	21	24	prose	p	
Lev	22	3	prose	p	
Lev	22	4	prose	p	
Lev	22	9	prose	p	
Lev	22	10	prose	p	
Lev	22	14	prose	p	
Lev	22	17	prose	p	
Lev	22	26	prose	p	
Lev	22	29	prose	p	
Lev	22	31	prose	p	
Lev	23	3	prose	p	
Lev	23	4	prose	p	
Lev	23	9	prose	p	
Lev	23	15	prose	p	
Lev	23	22	prose	p	
Lev	23	23	prose	p	
Lev	23	26	prose	p	
Lev	23	33	prose	p	
Lev	23	37	prose	p	
Lev	23	39	prose	p	
Lev	23	44	prose	p	
Lev	24	5	prose	p	
Lev	24	10	prose	p	
Lev	24	17	prose	p	
Lev	24	23	prose	p	
Lev	25	8	prose	p	
Lev	25	13	prose	p	
Lev	25	14	prose	p	
Lev	25	18	prose	p	
Lev	25	23	prose	p	
Lev	25	25	prose	p	
Lev	25	29	prose	p	
Lev	25	32	prose	p	
Lev	25	35	prose	p	
Lev	25	39	prose	p	
Lev	25	44	prose	p	
Lev	25	47	prose	p	
Lev	26	2	prose	p	
Lev	26	3	prose	p	
Lev	26	6	prose	p	
Lev	26	9	prose	p	
Lev	26	14	prose	p	
Lev	26	18	prose	p	
Lev	26	21	prose	p	
Lev	26	23	prose	p	
Lev	26	27	prose	p	
Lev	26	36	prose	p	
Lev	26	40	prose	p	
Lev	26	46	prose	p	
Lev	27	9	prose	p	
Lev	27	14	prose	p	
Lev	27	16	prose	p	
Lev	27	22	prose	p	
Lev	27	26	prose	p	
Lev	27	28	prose	p	
