book	chapter	verse	kind	marker	printed
Ex	26	15	prose	p	pilcrow
Ex	26	26	prose	p	pilcrow
Ex	26	31	prose	p	pilcrow
Ex	26	33	prose	p	pilcrow
Ex	27	9	prose	p	pilcrow
Ex	27	12	prose	p	pilcrow
Ex	27	16	prose	p	pilcrow
Ex	27	18	prose	p	pilcrow
Ex	27	20	prose	p	pilcrow
Ex	28	6	prose	p	pilcrow
Ex	28	13	prose	p	pilcrow
Ex	28	15	prose	p	pilcrow
Ex	28	22	prose	p	pilcrow
Ex	28	26	prose	p	pilcrow
Ex	28	30	prose	p	pilcrow
Ex	28	31	prose	p	pilcrow
Ex	28	33	prose	p	pilcrow
Ex	28	36	prose	p	pilcrow
Ex	28	39	prose	p	pilcrow
Ex	28	40	prose	p	pilcrow
Ex	29	15	prose	p	pilcrow
Ex	29	19	prose	p	pilcrow
Ex	29	29	prose	p	pilcrow
Ex	29	31	prose	p	pilcrow
Ex	29	38	prose	p	pilcrow
Ex	29	45	prose	p	pilcrow
Ex	30	11	prose	p	pilcrow
Ex	30	17	prose	p	pilcrow
Ex	30	22	prose	p	pilcrow
Ex	30	34	prose	p	pilcrow
Ex	31	12	prose	p	pilcrow
Ex	31	18	prose	p	pilcrow
Ex	32	7	prose	p	pilcrow
Ex	32	15	prose	p	pilcrow
Ex	32	19	prose	p	pilcrow
Ex	32	21	prose	p	
Ex	32	25	prose	p	pilcrow
Ex	32	30	prose	p	pilcrow
Ex	33	4	prose	p	pilcrow
Ex	33	7	prose	p	
Ex	33	12	prose	p	pilcrow
Ex	34	4	prose	p	pilcrow
Ex	34	5	prose	p	
Ex	34	10	prose	p	pilcrow
Ex	34	18	prose	p	pilcrow
Ex	34	21	prose	p	pilcrow
Ex	34	22	prose	p	pilcrow
Ex	34	23	prose	p	pilcrow
Ex	34	28	prose	p	
Ex	34	29	prose	p	pilcrow
Ex	35	4	prose	p	pilcrow
Ex	35	20	prose	p	pilcrow
Ex	35	30	prose	p	pilcrow
Ex	36	5	prose	p	pilcrow
Ex	36	8	prose	p	pilcrow
Ex	36	14	prose	p	pilcrow
Ex	36	20	prose	p	pilcrow
Ex	36	31	prose	p	pilcrow
Ex	36	35	prose	p	pilcrow
Ex	36	37	prose	p	pilcrow
Ex	37	6	prose	p	pilcrow
Ex	37	10	prose	p	pilcrow
Ex	37	17	prose	p	pilcrow
Ex	37	25	prose	p	pilcrow
Ex	37	29	prose	p	pilcrow
Ex	38	8	prose	p	pilcrow
Ex	38	9	prose	p	pilcrow
Ex	38	21	prose	p	pilcrow
Ex	39	6	prose	p	pilcrow
Ex	39	8	prose	p	pilcrow
Ex	39	22	prose	p	pilcrow
Ex	39	27	prose	p	pilcrow
Ex	39	30	prose	p	pilcrow
Ex	39	32	prose	p	pilcrow
Ex	39	33	prose	p	pilcrow
Ex	40	16	prose	p	
Ex	40	17	prose	p	pilcrow
Ex	40	20	prose	p	pilcrow
Ex	40	22	prose	p	pilcrow
Ex	40	24	prose	p	pilcrow
Ex	40	26	prose	p	pilcrow
Ex	40	28	prose	p	pilcrow
Ex	40	30	prose	p	pilcrow
Ex	40	34	prose	p	pilcrow
Lev	1	3	prose	p	
Lev	1	10	prose	p	pilcrow
Lev	1	14	prose	p	pilcrow
Lev	2	4	prose	p	pilcrow
Lev	2	5	prose	p	pilcrow
Lev	2	7	prose	p	pilcrow
Lev	2	11	prose	p	
Lev	2	12	prose	p	pilcrow
Lev	3	6	prose	p	pilcrow
Lev	3	12	prose	p	pilcrow
Lev	4	13	prose	p	pilcrow
Lev	4	22	prose	p	pilcrow
Lev	4	27	prose	p	pilcrow
Lev	5	7	prose	p	
Lev	5	11	prose	p	pilcrow
Lev	5	14	prose	p	pilcrow
Lev	5	17	prose	p	pilcrow
Lev	6	8	prose	p	pilcrow
Lev	6	14	prose	p	pilcrow
Lev	6	19	prose	p	pilcrow
Lev	6	24	prose	p	pilcrow
Lev	7	11	prose	p	
Lev	7	22	prose	p	pilcrow
Lev	7	28	prose	p	pilcrow
Lev	7	35	prose	p	pilcrow
Lev	8	14	prose	p	
Lev	8	18	prose	p	pilcrow
Lev	8	22	prose	p	pilcrow
Lev	8	31	prose	p	pilcrow
Lev	9	5	prose	p	pilcrow
Lev	9	8	prose	p	pilcrow
Lev	9	15	prose	p	pilcrow
Lev	9	23	prose	p	
Lev	10	3	prose	p	
Lev	10	8	prose	p	pilcrow
Lev	10	12	prose	p	pilcrow
Lev	10	16	prose	p	pilcrow
Lev	11	9	prose	p	pilcrow
Lev	11	13	prose	p	pilcrow
Lev	11	20	prose	p	
Lev	11	29	prose	p	pilcrow
Lev	11	43	prose	p	
Lev	12	6	prose	p	
Lev	13	9	prose	p	pilcrow
Lev	13	18	prose	p	pilcrow
Lev	13	24	prose	p	pilcrow
Lev	13	29	prose	p	pilcrow
Lev	13	38	prose	p	pilcrow
Lev	13	47	prose	p	pilcrow
Lev	14	10	prose	p	
Lev	14	21	prose	p	
Lev	14	33	prose	p	pilcrow
Lev	14	54	prose	p	
Lev	15	19	prose	p	pilcrow
Lev	16	5	prose	p	
Lev	16	15	prose	p	pilcrow
Lev	16	20	prose	p	pilcrow
Lev	16	29	prose	p	pilcrow
Lev	17	8	prose	p	pilcrow
Lev	17	10	prose	p	pilcrow
Lev	18	6	prose	p	pilcrow
Lev	18	19	prose	p	
Lev	19	3	prose	p	pilcrow
Lev	19	4	prose	p	pilcrow
Lev	19	5	prose	p	pilcrow
Lev	19	9	prose	p	pilcrow
Lev	19	11	prose	p	pilcrow
Lev	19	12	prose	p	pilcrow
Lev	19	13	prose	p	pilcrow
Lev	19	14	prose	p	pilcrow
Lev	19	15	prose	p	pilcrow
Lev	19	16	prose	p	pilcrow
Lev	19	17	prose	p	pilcrow
Lev	19	18	prose	p	pilcrow
Lev	19	19	prose	p	pilcrow
Lev	19	20	prose	p	pilcrow
Lev	19	23	prose	p	pilcrow
Lev	19	26	prose	p	pilcrow
Lev	19	29	prose	p	pilcrow
Lev	19	30	prose	p	pilcrow
Lev	19	31	prose	p	pilcrow
Lev	19	32	prose	p	pilcrow
Lev	19	33	prose	p	pilcrow
Lev	19	35	prose	p	pilcrow
Lev	20	6	prose	p	pilcrow
Lev	20	7	prose	p	pilcrow
Lev	20	9	prose	p	pilcrow
Lev	20	10	prose	p	pilcrow
Lev	20	22	prose	p	pilcrow
Lev	20	27	prose	p	pilcrow
Lev	21	9	prose	p	pilcrow
Lev	21	10	prose	p	
Lev	21	16	prose	p	pilcrow
Lev	22	10	prose	p	
Lev	22	14	prose	p	pilcrow
Lev	22	17	prose	p	pilcrow
Lev	22	26	prose	p	pilcrow
Lev	23	4	prose	p	pilcrow
Lev	23	9	prose	p	pilcrow
Lev	23	15	prose	p	pilcrow
Lev	23	22	prose	p	pilcrow
Lev	23	23	prose	p	pilcrow
Lev	23	26	prose	p	pilcrow
Lev	23	33	prose	p	pilcrow
Lev	24	5	prose	p	pilcrow
Lev	24	10	prose	p	pilcrow
Lev	24	17	prose	p	pilcrow
Lev	24	23	prose	p	pilcrow
Lev	25	8	prose	p	pilcrow
Lev	25	18	prose	p	pilcrow
Lev	25	23	prose	p	pilcrow
Lev	25	25	prose	p	pilcrow
Lev	25	35	prose	p	pilcrow
Lev	25	39	prose	p	pilcrow
Lev	25	47	prose	p	pilcrow
Lev	26	2	prose	p	pilcrow
Lev	26	3	prose	p	pilcrow
Lev	26	14	prose	p	pilcrow
Lev	26	21	prose	p	pilcrow
Lev	26	40	prose	p	
Lev	27	14	prose	p	pilcrow
Lev	27	26	prose	p	pilcrow
Num	1	5	prose	p	pilcrow
Num	1	17	prose	p	pilcrow
Num	1	22	prose	p	pilcrow
Num	1	24	prose	p	pilcrow
Num	1	26	prose	p	pilcrow
Num	1	28	prose	p	pilcrow
Num	1	30	prose	p	pilcrow
Num	1	32	prose	p	pilcrow
Num	1	34	prose	p	pilcrow
Num	1	36	prose	p	pilcrow
Num	1	38	prose	p	pilcrow
Num	1	40	prose	p	pilcrow
Num	1	42	prose	p	pilcrow
Num	1	44	prose	p	
Num	1	47	prose	p	pilcrow
Num	2	3	prose	p	
Num	2	10	prose	p	pilcrow
Num	2	17	prose	p	pilcrow
Num	2	18	prose	p	pilcrow
Num	2	25	prose	p	pilcrow
Num	2	29	prose	p	pilcrow
Num	2	32	prose	p	pilcrow
Num	3	5	prose	p	pilcrow
Num	3	14	prose	p	pilcrow
Num	3	27	prose	p	pilcrow
Num	3	33	prose	p	pilcrow
Num	3	38	prose	p	pilcrow
Num	3	40	prose	p	pilcrow
Num	3	44	prose	p	pilcrow
Num	4	5	prose	p	pilcrow
Num	4	16	prose	p	pilcrow
Num	4	17	prose	p	pilcrow
Num	4	21	prose	p	pilcrow
Num	4	29	prose	p	pilcrow
Num	4	34	prose	p	pilcrow
Num	4	42	prose	p	pilcrow
Num	5	5	prose	p	pilcrow
Num	5	11	prose	p	pilcrow
Num	6	13	prose	p	pilcrow
Num	6	22	prose	p	pilcrow
Num	7	10	prose	p	pilcrow
Num	7	12	prose	p	pilcrow
Num	7	18	prose	p	pilcrow
Num	7	24	prose	p	pilcrow
Num	7	30	prose	p	pilcrow
Num	7	36	prose	p	pilcrow
Num	7	42	prose	p	pilcrow
